Caso,Dimensoes,Operacoes,Serial (s),Paralelo (s),Distribuido (s),Speedup Paralelo,Speedup Distribuido
Caso 1,"A(2x2), B(2x2)",8,0.0000,0.1125,0.0117,0.0004,0.0039
Caso 2,"A(200x200), B(200x200)",8000000,0.0183,0.0911,0.0336,0.2009,0.5454
Caso 3,"A(300x300), B(300x300)",27000000,0.0705,0.1066,0.0689,0.6620,1.0231
Caso 4,"A(400x400), B(400x400)",64000000,0.1083,0.1067,0.1171,1.0151,0.9252
Caso 5,"A(500x500), B(500x500)",125000000,0.1825,0.1366,0.1246,1.3360,1.4651
Caso 6,"A(100x200), B(200x200)",4000000,0.0049,0.0616,0.0108,0.0796,0.4527
Caso 7,"A(200x300), B(300x300)",18000000,0.0270,0.0670,0.0726,0.4034,0.3720
Caso 8,"A(300x400), B(400x400)",48000000,0.0719,0.0875,0.0688,0.8220,1.0456
Caso 9,"A(400x500), B(500x500)",100000000,0.1370,0.1313,0.1225,1.0434,1.1184
Caso 10,"A(500x600), B(600x600)",180000000,0.2532,0.2045,0.2181,1.2385,1.1610
Caso 11,"A(600x700), B(700x700)",294000000,0.5185,0.2866,0.3959,1.8092,1.3097
Caso 12,"A(700x800), B(800x800)",448000000,0.7493,0.3675,0.4841,2.0388,1.5478
Caso 13,"A(800x900), B(900x900)",648000000,1.6537,0.6040,0.9699,2.7378,1.7049
Caso 14,"A(900x1000), B(1000x1000)",900000000,1.8803,0.8605,1.1042,2.1852,1.7029
Caso 15,"A(1000x1000), B(1000x1000)",1000000000,2.0607,0.7819,1.1378,2.6356,1.8111
Caso 16,"A(1500x1500), B(1500x1500)",3375000000,8.7997,2.7850,4.5136,3.1596,1.9496
